30.041000	30.041000	B
30.552000	30.552000	B
31.051000	31.051000	B
31.552000	31.552000	B
32.023000	32.023000	B
32.052000	32.052000	B
32.552000	32.552000	B
33.051000	33.051000	B
33.553000	33.553000	B
34.052000	34.052000	B
34.552000	34.552000	B
35.043000	35.043000	B
35.051000	35.051000	B
35.553000	35.553000	B
36.052000	36.052000	B
36.552000	36.552000	B
37.052000	37.052000	B
37.553000	37.553000	B
38.052000	38.052000	B
38.552000	38.552000	B
39.052000	39.052000	B
39.553000	39.553000	B
39.834000	39.834000	B
40.040000	40.040000	B
40.051000	40.051000	B
40.552000	40.552000	B
41.051000	41.051000	B
41.553000	41.553000	B
42.052000	42.052000	B
42.552000	42.552000	B
43.052000	43.052000	B
43.553000	43.553000	B
43.927000	43.927000	B
46.051000	46.051000	B
46.551000	46.551000	B
47.052000	47.052000	B
47.553000	47.553000	B
48.040000	48.040000	B
48.052000	48.052000	B
48.552000	48.552000	B
49.051000	49.051000	B
49.553000	49.553000	B
50.052000	50.052000	B
50.552000	50.552000	B
51.052000	51.052000	B
51.553000	51.553000	B
52.052000	52.052000	B
52.553000	52.553000	B
53.051000	53.051000	B
53.553000	53.553000	B
54.042000	54.042000	B
54.051000	54.051000	B
54.552000	54.552000	B
54.651000	54.651000	B
55.052000	55.052000	B
55.553000	55.553000	B
55.994000	55.994000	B
56.018000	56.018000	B
56.051000	56.051000	B
56.551000	56.551000	B
57.050000	57.050000	B
57.320000	57.320000	B
57.341000	57.341000	B
57.365000	57.365000	B
57.551000	57.551000	B
57.945000	57.945000	B
57.967000	57.967000	B
57.991000	57.991000	B
58.049000	58.049000	B
58.441000	58.441000	B
58.467000	58.467000	B
58.550000	58.550000	B
